label;region_name;ScoreMaxHeatmap;hemisphere
1;A;12600-13999;left
2;AB;12600-13999;left
3;ABC;02800-04199;left
4;ABD;04200-05599;left
5;ABDC;02800-04199;left
6;ABDE;02800-04199;left
7;ABDG;01400-02799;left
8;ABDH;0-01400;left
9;ABDI;0-01400;left
10;ABDJ;02800-04199;left
11;ABDK;02800-04199;left
12;ABDL;02800-04199;left
13;ABDM;02800-04199;left
14;ABE;04200-05599;left
15;ABEL;01400-02799;left
16;ABF;02800-04199;left
17;ABG;05600-06999;left
18;ABGC;04200-05599;left
19;ABGD;04200-05599;left
20;ABGE;01400-02799;left
21;ABGF;01400-02799;left
22;ABGH;02800-04199;left
23;ABGJ;01400-02799;left
24;ABGK;04200-05599;left
25;ABGL;01400-02799;left
26;ABGM;0-01400;left
27;ABH;12600-13999;left
28;ABHC;05600-06999;left
29;ABHCG;02800-04199;left
30;ABHD;04200-05599;left
31;ABHE;07000-08399;left
32;ABHEL;0-01400;left
33;ABHF;04200-05599;left
34;ABHFG;01400-02799;left
35;ABHG;12600-13999;left
36;ABHGC;05600-06999;left
37;ABHGD;08400-09799;left
38;ABHGDE;02800-04199;left
39;ABHGDJ;02800-04199;left
40;ABHGDK;08400-09799;left
41;ABHGDL;04200-05599;left
42;ABHGDM;02800-04199;left
43;ABHGE;07000-08399;left
44;ABHGED;05600-06999;left
45;ABHGEF;01400-02799;left
46;ABHGEJ;01400-02799;left
47;ABHGEK;02800-04199;left
48;ABHGEL;05600-06999;left
49;ABHGEM;04200-05599;left
50;ABHGF;07000-08399;left
51;ABHGFE;02800-04199;left
52;ABHGFJ;04200-05599;left
53;ABHGFK;04200-05599;left
54;ABHGFM;04200-05599;left
55;ABHGI;12600-13999;left
56;ABHGIC;07000-08399;left
57;ABHGID;11200-12599;left
58;ABHGIDJ;02800-04199;left
59;ABHGIDK;04200-05599;left
60;ABHGIDL;04200-05599;left
61;ABHGIDM;04200-05599;left
62;ABHGIE;07000-08399;left
63;ABHGIF;08400-09799;left
64;ABHGIFE;04200-05599;left
65;ABHGIFM;05600-06999;left
66;ABHGIJ;12600-13999;left
67;ABHGIJC;12600-13999;left
68;ABHGIJCD;08400-09799;left
69;ABHGIJCE;08400-09799;left
70;ABHGIJCF;09800-11199;left
71;ABHGIJCFE;07000-08399;left
72;ABHGIJCK;09800-11199;left
73;ABHGIJCL;08400-09799;left
74;ABHGIJCM;12600-13999;left
75;ABHGIJCMD;09800-11199;left
76;ABHGIJCME;09800-11199;left
77;ABHGIJCMF;09800-11199;left
78;ABHGIJCMK;08400-09799;left
79;ABHGIJCML;12600-13999;left
80;ABHGIJCMLD;11200-12599;left
81;ABHGIJCMLE;09800-11199;left
82;ABHGIJCMLK;12600-13999;left
83;ABHGIJCMLKD;12600-13999;left
84;ABHGIJCMLKE;12600-13999;left
85;ABHGIJCMLKED;12600-13999;left
86;ABHGIJD;07000-08399;left
87;ABHGIJE;09800-11199;left
88;ABHGIJED;04200-05599;left
89;ABHGIJF;07000-08399;left
90;ABHGIJK;07000-08399;left
91;ABHGIJL;08400-09799;left
92;ABHGIJM;07000-08399;left
93;ABHGIK;07000-08399;left
94;ABHGIL;05600-06999;left
95;ABHGIM;05600-06999;left
96;ABHGJ;08400-09799;left
97;ABHGJC;02800-04199;left
98;ABHGJD;02800-04199;left
99;ABHGJE;04200-05599;left
100;ABHGJF;04200-05599;left
101;ABHGJK;01400-02799;left
102;ABHGJM;04200-05599;left
103;ABHGK;07000-08399;left
104;ABHGKF;02800-04199;left
105;ABHGKJ;02800-04199;left
106;ABHGKM;04200-05599;left
107;ABHGL;05600-06999;left
108;ABHGM;05600-06999;left
109;ABHGMD;01400-02799;left
110;ABHGME;01400-02799;left
111;ABHGMF;04200-05599;left
112;ABHGMI;02800-04199;left
113;ABHGMJ;05600-06999;left
114;ABHGMK;04200-05599;left
115;ABHGML;01400-02799;left
116;ABHI;05600-06999;left
117;ABHIK;01400-02799;left
118;ABHIM;02800-04199;left
119;ABHJ;05600-06999;left
120;ABHJM;02800-04199;left
121;ABHK;04200-05599;left
122;ABHL;04200-05599;left
123;ABHM;05600-06999;left
124;ABHMI;01400-02799;left
125;ABHMJ;01400-02799;left
126;ABI;04200-05599;left
127;ABJ;05600-06999;left
128;ABJH;0-01400;left
129;ABJM;01400-02799;left
130;ABK;04200-05599;left
131;ABKD;0-01400;left
132;ABKG;01400-02799;left
133;ABL;02800-04199;left
134;ABM;02800-04199;left
135;AC;0-01400;left
136;AD;01400-02799;left
137;AE;0-01400;left
138;AF;01400-02799;left
139;AG;02800-04199;left
140;AGH;0-01400;left
141;AH;01400-02799;left
142;AI;04200-05599;left
143;AIB;01400-02799;left
144;AIC;04200-05599;left
145;AID;01400-02799;left
146;AIG;0-01400;left
147;AIH;01400-02799;left
148;AIK;0-01400;left
149;AIM;02800-04199;left
150;AJ;02800-04199;left
151;AJH;0-01400;left
152;AK;01400-02799;left
153;AL;02800-04199;left
154;ALB;0-01400;left
155;ALC;01400-02799;left
156;ALD;01400-02799;left
157;ALE;02800-04199;left
158;ALK;01400-02799;left
159;AM;01400-02799;left
