label,X,,
1,116,102,19
2,117,102,19
3,118,102,19
4,115,103,19
5,116,103,19
6,117,103,19
7,118,103,19
8,115,104,19
9,116,104,19
10,117,104,19
11,116,102,20
12,117,102,20
13,116,103,20
14,117,103,20
15,116,104,20
16,117,104,20
17,97,147,25
18,98,147,25
19,97,148,25
20,98,148,25
21,97,146,26
22,98,146,26
23,97,147,26
24,98,147,26
25,99,147,26
26,97,148,26
27,98,148,26
28,99,148,26
29,97,147,27
30,98,147,27
31,97,148,27
32,98,148,27
33,155,128,32
34,156,128,32
35,155,129,32
36,156,129,32
37,113,156,38
38,114,156,38
39,113,157,38
40,114,157,38
41,113,156,39
42,114,156,39
43,115,156,39
44,113,157,39
45,114,157,39
46,115,157,39
47,113,156,40
48,114,156,40
49,113,157,40
50,114,157,40
51,155,64,46
52,156,64,46
53,154,65,46
54,155,65,46
55,156,65,46
56,154,66,46
57,155,66,46
58,156,66,46
59,155,64,47
60,156,64,47
61,155,65,47
62,156,65,47
63,122,143,50
64,123,143,50
65,122,144,50
66,123,144,50
67,91,112,51
68,92,112,51
69,91,113,51
70,92,113,51
71,91,112,52
72,92,112,52
73,91,113,52
74,92,113,52
75,101,178,52
76,102,178,52
77,101,179,52
78,102,179,52
79,173,99,54
80,174,99,54
81,173,100,54
82,174,100,54
83,117,184,56
84,118,184,56
85,117,185,56
86,118,185,56
87,114,180,59
88,115,180,59
89,114,181,59
90,115,181,59
91,144,183,59
92,145,183,59
93,144,184,59
94,145,184,59
95,144,185,59
96,145,185,59
97,154,146,64
98,155,146,64
99,154,147,64
100,155,147,64
101,156,147,64
102,154,148,64
103,155,148,64
104,156,148,64
105,154,146,65
106,155,146,65
107,154,147,65
108,155,147,65
109,98,119,67
110,99,119,67
111,98,120,67
112,99,120,67
113,110,150,68
114,111,150,68
115,110,151,68
116,111,151,68
117,153,91,72
118,154,91,72
119,155,91,72
120,153,92,72
121,154,92,72
122,155,92,72
123,153,93,72
124,154,93,72
125,155,93,72
126,153,90,73
127,154,90,73
128,155,90,73
129,152,91,73
130,153,91,73
131,154,91,73
132,155,91,73
133,156,91,73
134,152,92,73
135,153,92,73
136,154,92,73
137,155,92,73
138,156,92,73
139,153,93,73
140,154,93,73
141,155,93,73
142,156,93,73
143,154,94,73
144,153,90,74
145,154,90,74
146,155,90,74
147,152,91,74
148,153,91,74
149,154,91,74
150,155,91,74
151,156,91,74
152,152,92,74
153,153,92,74
154,154,92,74
155,155,92,74
156,156,92,74
157,153,93,74
158,154,93,74
159,155,93,74
160,154,91,75
161,155,91,75
162,154,92,75
163,155,92,75
164,121,119,86
165,122,119,86
166,121,120,86
167,122,120,86
168,121,121,86
169,122,121,86
